Year,Type of Crime,Mean Months,Median Months,N
2017,Murder,224,180,72
2017,Manslaughter,68,56,62
2017,Kidnapping/Hostage Taking,230,210,62
2017,Sexual Abuse,137,120,649
2017,Assault,29,18,788
2017,Robbery,74,60,650
2017,Arson,63,60,40
2017,Drugs - Communication Facility,28,24,263
2017,Burglary/B&E,19,15,33
2017,Auto Theft,72,44,64
2017,Larceny,10,1,808
2017,Embezzlement,7,3,396
2017,Forgery/Counterfeiting,18,13,371
2017,Bribery,20,15,155
2017,Tax,13,10,433
2017,Money Laundering,33,18,679
2017,Racketeering/Extortion,99,60,940
2017,Gambling/Lottery,4,0,47
2017,Civil Rights,36,10,56
2017,Prison Offenses,12,10,522
2017,Environmental/Wildlife,3,0,109
2017,National Defense,56,27,89
2017,Antitrust,13,8,31
2017,Food & Drug,6,0,86
